epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,109413,1.13124,0.71049,1.2173,0.84229,0.69849,0.76288,0.42858,1.39723,0.86572,1.4395,0.00030808,0.00030808,0.00030808
75,112070,1.12545,0.71476,1.22396,0.82049,0.70374,0.76384,0.42358,1.4102,0.86396,1.44483,0.000297081,0.000297081,0.000297081
76,116445,1.12583,0.70745,1.21591,0.85536,0.68783,0.76554,0.4282,1.40198,0.86023,1.42926,0.000286083,0.000286083,0.000286083
77,128704,1.12618,0.71712,1.22003,0.84304,0.7034,0.76747,0.42916,1.40166,0.85359,1.44044,0.000275084,0.000275084,0.000275084
78,129446,1.12863,0.7087,1.21805,0.81695,0.72659,0.77126,0.42872,1.41641,0.86766,1.44428,0.000264085,0.000264085,0.000264085
79,130197,1.11384,0.69568,1.20382,0.84674,0.70899,0.77549,0.42938,1.40621,0.85338,1.44345,0.000253086,0.000253086,0.000253086
80,131156,1.10123,0.69113,1.20487,0.85457,0.69746,0.77043,0.42844,1.41738,0.84996,1.44951,0.000242087,0.000242087,0.000242087
81,132161,1.12999,0.70538,1.21729,0.85795,0.69666,0.77415,0.43262,1.39359,0.85315,1.44851,0.000231088,0.000231088,0.000231088
82,133117,1.1083,0.69624,1.20831,0.8483,0.70025,0.7705,0.42852,1.41141,0.84874,1.45627,0.000220089,0.000220089,0.000220089
83,134033,1.10449,0.68479,1.20612,0.85601,0.69433,0.77502,0.42867,1.41144,0.84147,1.46026,0.00020909,0.00020909,0.00020909
84,134999,1.10016,0.68386,1.20059,0.839,0.71057,0.77222,0.42402,1.4075,0.84719,1.46249,0.000198091,0.000198091,0.000198091
85,135966,1.08501,0.67239,1.19663,0.84749,0.70777,0.7707,0.43012,1.41747,0.84307,1.46845,0.000187092,0.000187092,0.000187092
86,136931,1.08408,0.67395,1.19143,0.83963,0.70583,0.77015,0.42821,1.41102,0.84919,1.45925,0.000176094,0.000176094,0.000176094
87,137932,1.09798,0.68215,1.1943,0.83303,0.714,0.76876,0.43012,1.39449,0.83919,1.45551,0.000165095,0.000165095,0.000165095
88,138919,1.07933,0.67258,1.19652,0.84764,0.70908,0.77467,0.42957,1.3976,0.82903,1.45396,0.000154096,0.000154096,0.000154096
89,139901,1.07868,0.67211,1.19346,0.83647,0.71259,0.77053,0.42714,1.40784,0.82458,1.46214,0.000143097,0.000143097,0.000143097
90,140866,1.0861,0.66864,1.18912,0.85146,0.70464,0.77038,0.42738,1.40327,0.83033,1.45137,0.000132098,0.000132098,0.000132098
91,171241,1.03981,0.57597,1.17194,0.86169,0.6947,0.76748,0.42576,1.40795,0.84081,1.46019,0.000121099,0.000121099,0.000121099
92,172706,1.02205,0.5511,1.15903,0.8712,0.69246,0.77247,0.43146,1.39923,0.83288,1.45087,0.0001101,0.0001101,0.0001101
93,174300,1.01501,0.54066,1.15728,0.86205,0.69751,0.77369,0.42688,1.40829,0.83541,1.46985,9.91012e-05,9.91012e-05,9.91012e-05
94,176118,1.01834,0.54165,1.16006,0.87237,0.68969,0.77292,0.42947,1.40528,0.83701,1.45855,8.81023e-05,8.81023e-05,8.81023e-05
95,177080,1.0047,0.53497,1.14824,0.87155,0.69384,0.77748,0.43282,1.40549,0.83628,1.46139,7.71034e-05,7.71034e-05,7.71034e-05
96,179427,0.9942,0.52763,1.14355,0.83987,0.70598,0.77235,0.42974,1.40461,0.8413,1.46118,6.61045e-05,6.61045e-05,6.61045e-05
97,189186,1.00222,0.53126,1.14494,0.84334,0.71317,0.77212,0.42793,1.40537,0.84169,1.46737,5.51056e-05,5.51056e-05,5.51056e-05
98,191048,0.99761,0.52921,1.14633,0.84726,0.70929,0.7718,0.43019,1.39795,0.84071,1.45961,4.41067e-05,4.41067e-05,4.41067e-05
99,192417,0.9864,0.5226,1.13398,0.83966,0.71389,0.7719,0.42962,1.40226,0.84241,1.46,3.31078e-05,3.31078e-05,3.31078e-05
100,195435,0.98371,0.51786,1.13886,0.84785,0.70554,0.77091,0.42965,1.40106,0.83965,1.46411,2.21089e-05,2.21089e-05,2.21089e-05
